Area Code,Zip Code
201200,07306
201201,07302
201202,07601
201203,07105
201204,07102
201205,07310
201206,07601
201207,07103
201208,07105
201209,07306
201210,07105
201212,07601
201213,07960
201214,07601
201215,07002
201216,07306
201217,07307
201218,07601
201219,07310
201220,07601
201221,07601
201222,07306
201223,07086
201226,07601
201227,07631
201229,07601
201230,07876
201232,07310
201233,07020
201234,07103
201235,07601
201236,07446
201237,07070
201238,07310
201239,07310
201240,07310
201241,07601
201243,07002
201244,07628
201245,07601
201246,07032
201247,07006
201248,07446
201249,07663
201250,07601
201251,07450
201253,07302
201255,07087
201257,07604
201259,07103
201263,07675
201264,07446
201268,07302
201269,07481
201270,07601
201271,07087
201272,07087
201273,07302
201274,07960
201275,07310
201276,07601
201277,07087
201278,07628
201279,07032
201280,07663
201281,07105
201282,07022
201283,07032
201284,07302
201285,07105
201286,07601
201287,07666
201288,07604
201289,07601
201290,07601
201291,07601
201292,07103
201293,07087
201294,07601
201295,07087
201296,07601
201298,07604
201299,07032
201300,07105
201301,07452
201303,07105
201304,07666
201305,07086
201306,07103
201309,07304
201310,07601
201312,07663
201313,07020
201314,07601
201315,07601
201317,07876
201319,07086
201320,07302
201321,07663
201323,07960
201324,07306
201325,07087
201327,07446
201328,07103
201329,07601
201330,07086
201331,07430
201332,07304
201333,07304
201334,07102
201336,07601
201337,07436
201338,07628
201339,07002
201340,07663
201341,07103
201342,07601
201343,07601
201345,07452
201347,07666
201348,07086
201349,07103
201351,07102
201352,07087
201353,07094
201354,07002
201356,07102
201357,07666
201358,07675
201359,07601
201360,07310
201362,07601
201364,07601
201365,07604
201366,07663
201368,07601
201369,07306
201370,07601
201371,07666
201372,07070
201373,07601
201374,07628
201375,07604
201376,07601
201377,07310
201378,07446
201379,07666
201380,07310
201381,07102
201382,07601
201383,07675
201384,07628
201385,07628
201386,07307
201387,07628
201388,07310
201389,07450
201390,07601
201392,07086
201393,07604
201394,07601
201395,07304
201396,07006
201397,07601
201398,07410
